month_date,month,room_type,listing_count,host_count,active_listing_count,avg_daily_rate_mean,avg_daily_rate_median,occupancy_mean,revenue_mean,revenue_median,revpar_mean,star_rating_mean,superhost_share,latitude_mean,longitude_mean
2021-03-01,2021-03,entire_home,314,285,199,196.5484076433121,157.45,0.5623503184713375,3291.191082802548,2689.5,106.16745428395315,4.729350180505415,0.3154121863799283,40.72178932133758,-73.9526307194586
2021-03-01,2021-03,hotel_room,5,5,1,319.71999999999997,178.0,0.21939999999999998,5752.0,0.0,185.5483870967742,4.7,0.25,40.739730800000004,-73.9828358
2021-03-01,2021-03,private_room,244,220,143,85.7827868852459,65.3,0.5354262295081967,1459.155737704918,1147.5,47.069539925965096,4.662030456852792,0.22624434389140272,40.73195086823771,-73.93867442245902
2021-03-01,2021-03,shared_room,10,9,6,55.45,37.65,0.5645,929.5,905.0,29.98387096774194,4.6987499999999995,0.375,40.722976,-73.917182
2021-04-01,2021-04,entire_home,314,285,207,200.22420382165606,160.0,0.5823694267515924,3377.608280254777,2846.0,112.58694267515925,4.729350180505415,0.3154121863799283,40.72178932133758,-73.9526307194586
2021-04-01,2021-04,hotel_room,5,5,2,328.58000000000004,177.1,0.2666,5903.6,0.0,196.7866666666667,4.7,0.25,40.739730800000004,-73.9828358
2021-04-01,2021-04,private_room,244,220,156,87.03852459016395,64.7,0.5449590163934426,1424.1639344262296,1193.5,47.47213114754098,4.662030456852792,0.22624434389140272,40.73195086823771,-73.93867442245902
2021-04-01,2021-04,shared_room,10,9,6,55.33,35.4,0.55,910.7,792.5,30.356666666666666,4.6987499999999995,0.375,40.722976,-73.917182
2021-05-01,2021-05,entire_home,314,285,223,204.49267515923566,163.25,0.578375796178344,3553.6019108280257,2986.0,114.63231970412986,4.729350180505415,0.3154121863799283,40.72178932133758,-73.9526307194586
2021-05-01,2021-05,hotel_room,5,5,2,326.03999999999996,176.4,0.3742,6432.4,0.0,207.4967741935484,4.7,0.25,40.739730800000004,-73.9828358
2021-05-01,2021-05,private_room,244,220,164,92.97500000000001,67.75,0.5400491803278689,1532.545081967213,1257.0,49.43693812797462,4.662030456852792,0.22624434389140272,40.73195086823771,-73.93867442245902
2021-05-01,2021-05,shared_room,10,9,6,56.02,36.099999999999994,0.5065,995.6,487.5,32.11612903225806,4.6987499999999995,0.375,40.722976,-73.917182
2021-06-01,2021-06,entire_home,314,285,230,213.12898089171975,168.85,0.5974649681528663,3720.496815286624,3438.0,124.01656050955413,4.729350180505415,0.3154121863799283,40.72178932133758,-73.9526307194586
2021-06-01,2021-06,hotel_room,5,5,3,321.04,181.6,0.5334,7146.0,2451.0,238.2,4.7,0.25,40.739730800000004,-73.9828358
2021-06-01,2021-06,private_room,244,220,168,93.96598360655739,66.65,0.5796557377049181,1647.75,1399.5,54.925,4.662030456852792,0.22624434389140272,40.73195086823771,-73.93867442245902
2021-06-01,2021-06,shared_room,10,9,6,55.83,36.900000000000006,0.5433,881.7,815.0,29.389999999999997,4.6987499999999995,0.375,40.722976,-73.917182
2021-07-01,2021-07,entire_home,314,285,240,215.56337579617832,171.0,0.6250191082802548,4097.248407643312,3747.0,132.1693034723649,4.729350180505415,0.3154121863799283,40.72178932133758,-73.9526307194586
2021-07-01,2021-07,hotel_room,5,5,3,306.0,173.8,0.6,7574.0,3606.0,244.3225806451613,4.7,0.25,40.739730800000004,-73.9828358
2021-07-01,2021-07,private_room,244,220,176,94.17663934426228,67.55,0.5979754098360656,1798.877049180328,1589.0,58.02829190904283,4.662030456852792,0.22624434389140272,40.73195086823771,-73.93867442245902
2021-07-01,2021-07,shared_room,10,9,6,55.69,38.0,0.5903,1076.5,902.0,34.725806451612904,4.6987499999999995,0.375,40.722976,-73.917182
2021-08-01,2021-08,entire_home,314,285,245,220.81496815286621,170.0,0.6121815286624204,4091.248407643312,3571.0,131.97575508526813,4.729350180505415,0.3154121863799283,40.72178932133758,-73.9526307194586
2021-08-01,2021-08,hotel_room,5,5,3,308.74,165.7,0.5548,7510.6,2794.0,242.27741935483874,4.7,0.25,40.739730800000004,-73.9828358
2021-08-01,2021-08,private_room,244,220,184,94.91352459016395,69.44999999999999,0.6175245901639344,1889.5245901639344,1583.5,60.95240613432046,4.662030456852792,0.22624434389140272,40.73195086823771,-73.93867442245902
2021-08-01,2021-08,shared_room,10,9,7,56.1,38.45,0.6096,1112.5,746.0,35.88709677419355,4.6987499999999995,0.375,40.722976,-73.917182
2021-09-01,2021-09,entire_home,314,285,250,217.97866242038216,169.0,0.6098694267515924,3923.423566878981,3546.0,130.7807855626327,4.729350180505415,0.3154121863799283,40.72178932133758,-73.9526307194586
2021-09-01,2021-09,hotel_room,5,5,4,301.88,170.1,0.4466,6198.8,2353.0,206.6266666666667,4.7,0.25,40.739730800000004,-73.9828358
2021-09-01,2021-09,private_room,244,220,192,98.07786885245902,68.8,0.6291024590163935,1947.561475409836,1598.5,64.91871584699453,4.662030456852792,0.22624434389140272,40.73195086823771,-73.93867442245902
2021-09-01,2021-09,shared_room,10,9,7,55.220000000000006,36.7,0.5501,908.0,938.5,30.26666666666667,4.6987499999999995,0.375,40.722976,-73.917182
2021-10-01,2021-10,entire_home,314,285,257,220.8328025477707,172.3,0.565859872611465,3864.503184713376,3226.5,124.6613930552702,4.729350180505415,0.3154121863799283,40.72178932133758,-73.9526307194586
2021-10-01,2021-10,hotel_room,5,5,4,316.02,190.0,0.2968,1746.0,0.0,56.322580645161295,4.7,0.25,40.739730800000004,-73.9828358
2021-10-01,2021-10,private_room,244,220,195,100.5905737704918,68.95,0.6074836065573771,1913.0696721311476,1599.5,61.71192490745637,4.662030456852792,0.22624434389140272,40.73195086823771,-73.93867442245902
2021-10-01,2021-10,shared_room,10,9,7,55.54,35.45,0.5161,966.8,727.5,31.18709677419355,4.6987499999999995,0.375,40.722976,-73.917182
