month_date,month,property_type,listing_count,host_count,active_listing_count,avg_daily_rate_mean,avg_daily_rate_median,occupancy_mean,revenue_mean,revenue_median,revpar_mean,star_rating_mean,superhost_share,latitude_mean,longitude_mean
2021-06-01,2021-06,Apartment & Condo,425,386,299,158.4889411764706,123.9,0.5850305882352941,2778.7905882352943,1807.0,92.62635294117646,4.6984078212290505,0.27466666666666667,40.728910317505886,-73.95267037705882
2021-06-01,2021-06,Boutique & Hotels,34,29,28,224.5441176470588,173.39999999999998,0.6706176470588234,4454.64705882353,3118.5,148.48823529411763,4.54962962962963,0.1935483870967742,40.74796511764706,-73.9799973235294
2021-06-01,2021-06,House,101,92,68,152.42475247524752,83.8,0.5541386138613862,2422.2574257425745,1386.0,80.74191419141914,4.740340909090909,0.27956989247311825,40.709416166435645,-73.91163882158416
2021-06-01,2021-06,Others,13,13,12,125.11538461538461,111.7,0.7486923076923078,2903.230769230769,3074.0,96.77435897435898,4.843333333333334,0.5384615384615384,40.715195461538464,-73.92063567384615
2021-07-01,2021-07,Apartment & Condo,425,386,314,159.10399999999998,126.6,0.6144964705882353,3069.569411764706,2045.0,99.01836812144212,4.6984078212290505,0.27466666666666667,40.728910317505886,-73.95267037705882
2021-07-01,2021-07,Boutique & Hotels,34,29,29,219.4235294117647,185.10000000000002,0.7030588235294117,4695.470588235294,3839.0,151.46679316888046,4.54962962962963,0.1935483870967742,40.74796511764706,-73.9799973235294
2021-07-01,2021-07,House,101,92,70,158.7029702970297,90.5,0.5522178217821783,2656.910891089109,1610.0,85.70680293835835,4.740340909090909,0.27956989247311825,40.709416166435645,-73.91163882158416
2021-07-01,2021-07,Others,13,13,12,126.48461538461538,112.1,0.7866153846153845,3195.076923076923,3180.0,103.0669975186104,4.843333333333334,0.5384615384615384,40.715195461538464,-73.92063567384615
2021-08-01,2021-08,Apartment & Condo,425,386,322,161.11529411764707,127.3,0.6177529411764706,3082.950588235294,2134.0,99.45001897533207,4.6984078212290505,0.27466666666666667,40.728910317505886,-73.95267037705882
2021-08-01,2021-08,Boutique & Hotels,34,29,29,218.8029411764706,166.35,0.6309705882352941,4461.529411764706,2616.5,143.92030360531308,4.54962962962963,0.1935483870967742,40.74796511764706,-73.9799973235294
2021-08-01,2021-08,House,101,92,76,168.90594059405942,91.0,0.5691386138613861,2880.6039603960394,1581.0,92.92270839987225,4.740340909090909,0.27956989247311825,40.709416166435645,-73.91163882158416
2021-08-01,2021-08,Others,13,13,12,125.13076923076923,113.0,0.7915384615384615,3191.3076923076924,3017.0,102.94540942928039,4.843333333333334,0.5384615384615384,40.715195461538464,-73.92063567384615
2021-09-01,2021-09,Apartment & Condo,425,386,328,161.2764705882353,130.0,0.6087835294117647,2949.656470588235,2017.0,98.32188235294116,4.6984078212290505,0.27466666666666667,40.728910317505886,-73.95267037705882
