month_date,month,zip_code,listing_count,host_count,active_listing_count,avg_daily_rate_mean,avg_daily_rate_median,occupancy_mean,revenue_mean,revenue_median,revpar_mean,star_rating_mean,superhost_share,latitude_mean,longitude_mean
2021-03-01,2021-03,10001,11,10,8,124.0909090909091,119.8,0.5570909090909091,1700.090909090909,1569.0,54.841642228739005,4.4772727272727275,0.125,40.747899090909094,-73.99189454545454
2021-03-01,2021-03,10002,19,15,14,166.93684210526317,128.3,0.6621052631578948,3810.1052631578946,3202.0,122.90662139219016,4.684166666666667,0.4375,40.7189780431579,-73.98983399894736
2021-03-01,2021-03,10003,1,1,0,303.3,303.3,0.0,0.0,0.0,0.0,4.86,0.0,40.73238,-73.995
2021-03-01,2021-03,10004,1,1,0,50.1,50.1,0.065,116.0,116.0,3.741935483870968,2.25,0.0,40.70591,-74.00607
2021-03-01,2021-03,10005,2,2,1,618.1,618.1,0.516,4258.5,4258.5,137.3709677419355,,0.0,40.706990000000005,-74.009525
2021-03-01,2021-03,10006,1,1,0,161.1,161.1,0.0,0.0,0.0,0.0,5.0,0.0,40.70887,-74.01284
2021-03-01,2021-03,10007,2,2,1,230.4,230.4,0.274,1495.5,1495.5,48.24193548387097,4.96,0.0,40.714235,-74.007365
2021-03-01,2021-03,10009,9,9,4,169.1888888888889,176.4,0.40144444444444444,1697.111111111111,0.0,54.74551971326165,4.662857142857143,0.16666666666666666,40.72713531111111,-73.98186234333333
2021-03-01,2021-03,10010,3,3,0,120.93333333333332,99.9,0.021666666666666667,71.66666666666667,0.0,2.3118279569892475,4.3500000000000005,0.0,40.74081666666667,-73.98352999999999
2021-03-01,2021-03,10011,6,6,4,213.54999999999998,209.0,0.6666666666666666,4424.833333333333,5094.0,142.73655913978496,4.758,0.2,40.74134453166667,-73.99929344499999
2021-03-01,2021-03,10012,7,5,5,412.3,212.3,0.7097142857142857,11602.57142857143,6580.0,374.2764976958525,4.7871428571428565,0.6666666666666666,40.72400714285714,-73.99740857142856
2021-03-01,2021-03,10013,3,2,1,127.16666666666667,121.8,0.3333333333333333,1972.6666666666667,0.0,63.63440860215053,4.656666666666667,0.0,40.71799,-74.00117
2021-03-01,2021-03,10014,6,6,4,256.1,185.75,0.6558333333333334,5679.833333333333,4947.0,183.22043010752688,4.776000000000001,0.3333333333333333,40.732463333333335,-74.00392000000001
2021-03-01,2021-03,10016,8,6,6,136.1375,137.64999999999998,0.75,2751.875,2441.5,88.77016129032259,4.826666666666667,0.125,40.744333749999996,-73.9780225
2021-03-01,2021-03,10017,4,4,2,256.7,213.95,0.46775,4188.25,1584.5,135.10483870967744,4.975,0.0,40.7529956,-73.97238612
2021-03-01,2021-03,10018,6,5,5,129.38333333333333,113.4,0.7795,3477.1666666666665,2921.5,112.16666666666667,4.445,0.16666666666666666,40.756278333333334,-73.99483666666667
2021-03-01,2021-03,10019,19,19,15,281.63684210526316,230.8,0.7164736842105263,6171.0526315789475,5188.0,199.06621392190152,4.528235294117647,0.16666666666666666,40.76175789473684,-73.9860152631579
